Trial	prescreened_out	used	reason
1	False	False	NA
2	False	True	NA
3	False	True	NA
4	False	True	NA
5	False	True	NA
6	False	True	NA
7	False	True	NA
8	False	True	NA
9	False	True	NA
10	False	True	NA
11	False	True	NA
12	True	False	Inattentive
13	False	True	NA
14	False	True	NA
15	False	True	NA
16	False	True	NA
17	False	True	NA
18	False	True	NA
19	False	True	NA
20	True	False	Inattentive
21	False	True	NA
22	False	True	NA
23	False	True	NA
24	False	True	NA
25	False	True	NA
26	False	True	NA
27	False	True	NA
28	False	True	NA
29	False	True	NA
30	False	True	NA
31	False	True	NA
32	False	True	NA
33	False	True	NA
34	True	False	Inattentive
35	False	True	NA
36	True	False	Inattentive
37	True	False	Not Looking Before Critical Word
38	True	False	Inattentive
39	False	True	NA
